ubigeo,distrito,provincia,departamento,prevalencia_anemia_actual,anio_referencia_anemia,dato_anemia_disponible,gasto_pan_percapita_actual,anio_referencia_gasto,dato_gasto_disponible,indice_priorizacion_tau,tau_intervalo_inferior,tau_intervalo_superior,tau_es_confiable,dato_priorizacion_disponible,cuello_de_botella_dominante,delta_tau_agua_segura,delta_tau_dispersion,delta_tau_urbanizacion
10101,CHACHAPOYAS,CHACHAPOYAS,AMAZONAS,0.116812227,2025.0,True,0.0,2025.0,True,0.0091332860550242,0.0054125911893348,0.0128539809207137,True,True,agua_segura,0.0001845456015523,0.0,1.734723475976807e-18
10102,ASUNCION,CHACHAPOYAS,AMAZONAS,0.0,2025.0,True,0.0,2025.0,True,0.008913617605852,-0.007584649618574,0.0254118848302781,False,True,agua_segura,0.0010889251095655,0.0003883242842944,0.0007587014987948
10103,BALSAS,CHACHAPOYAS,AMAZONAS,0.178571429,2025.0,True,0.0,2025.0,True,0.0066569226406292,0.001500421025797,0.0118134242554614,True,True,dispersion,0.0007497676095797,0.0008737693778614,0.000391460293667
10104,CHETO,CHACHAPOYAS,AMAZONAS,0.066666667,2025.0,True,0.0,2025.0,True,0.012944568469743,0.0073915218851826,0.0184976150543034,True,True,urbanizacion,-0.0005582360023604,-0.000228264198035,0.0010207485650968
10105,CHILIQUIN,CHACHAPOYAS,AMAZONAS,0.0,2025.0,True,0.0,2025.0,True,0.0137917819021788,0.0028768156131976,0.0247067481911601,True,True,urbanizacion,0.0003861072323492,-0.000646316756291,0.0009555322944391
10106,CHUQUIBAMBA,CHACHAPOYAS,AMAZONAS,0.364864865,2025.0,True,0.0,2025.0,True,0.023118392763076,0.0101467167139175,0.0360900688122344,True,True,ninguno (ya en percentil 75+),-0.0002352425890671,-0.0004443026761021,-0.0014623329730241
10107,GRANADA,CHACHAPOYAS,AMAZONAS,0.0,2025.0,True,0.0,2025.0,True,0.020830936430267,0.0092557419346665,0.0324061309258675,True,True,ninguno (ya en percentil 75+),0.0,-0.0017947278073122,-0.0018968101280431
10108,HUANCAS,CHACHAPOYAS,AMAZONAS,0.166666667,2025.0,True,0.0,2025.0,True,0.0129426290458914,0.0066200687556491,0.0192651893361337,True,True,urbanizacion,-0.0011526823285303,-0.0001093460162193,0.0006980628707323
10109,LA JALCA,CHACHAPOYAS,AMAZONAS,0.319148936,2025.0,True,0.0,2025.0,True,0.0180458969928584,0.0111252919775516,0.0249665020081653,True,True,agua_segura,0.0008410638859593,2.31856711980262e-05,7.326511981348496e-05
10110,LEIMEBAMBA,CHACHAPOYAS,AMAZONAS,0.153153153,2025.0,True,0.0,2025.0,True,0.0134043840608168,0.009146794482968,0.0176619736386656,True,True,ninguno (ya en percentil 75+),-3.469446951953614e-18,-0.0003692168383884,-0.001006046150101
10111,LEVANTO,CHACHAPOYAS,AMAZONAS,0.444444444,2025.0,True,0.0,2025.0,True,0.0220819671353481,0.006288861807842,0.0378750724628542,True,True,ninguno (ya en percentil 75+),-0.0005277564898512,-0.0010542754012403,-0.0012309345377253
10112,MAGDALENA,CHACHAPOYAS,AMAZONAS,0.136363636,2025.0,True,0.0,2025.0,True,0.0080077675598123,0.0008616083470018,0.0151539267726229,True,True,urbanizacion,0.0001998174988291,-0.0002493375992339,0.0007111335619422
10113,MARISCAL CASTILLA,CHACHAPOYAS,AMAZONAS,0.117647059,2025.0,True,0.0,2025.0,True,0.0110002017482843,0.0055640739700341,0.0164363295265344,True,True,urbanizacion,0.0004405914950106,-0.0003170480778835,0.0006894373426326
10114,MOLINOPAMPA,CHACHAPOYAS,AMAZONAS,0.245283019,2025.0,True,0.0,2025.0,True,0.0138612337811631,0.0074499591048546,0.0202725084574716,True,True,ninguno (ya en percentil 75+),0.0,-0.0008980876185111,-0.0007511149135394
10115,MONTEVIDEO,CHACHAPOYAS,AMAZONAS,0.25,2025.0,True,0.0,2025.0,True,0.0109503030858577,0.0006076227076412,0.0212929834640742,True,True,urbanizacion,-0.0003436025572047,-0.0004663146131701,0.0005975645007049
10116,OLLEROS,CHACHAPOYAS,AMAZONAS,0.6,2025.0,True,0.0,2025.0,True,0.0141889439523521,-0.0004201880045991,0.0287980759093034,False,True,agua_segura,0.0012461520763892,-0.000176212480129,-0.0004651697024755
10117,QUINJALCA,CHACHAPOYAS,AMAZONAS,0.375,2025.0,True,0.0,2025.0,True,0.0136718134249581,0.0018066110889243,0.0255370157609919,True,True,agua_segura,0.0017316647561924,0.0007647092254735,0.0003748443217485
10118,SAN FRANCISCO DE DAGUAS,CHACHAPOYAS,AMAZONAS,0.0,2025.0,True,0.0,2025.0,True,0.0110368930035591,0.0062937067094752,0.0157800792976429,True,True,urbanizacion,-0.0005985705363767,6.0008010474529513e-05,0.0001179792653685
10119,SAN ISIDRO DE MAINO,CHACHAPOYAS,AMAZONAS,0.0,2025.0,True,0.0,2025.0,True,0.0072262084132513,0.0005891128214187,0.013863304005084,True,True,urbanizacion,-9.692188943067388e-05,0.0004416465484279,0.0008910975409024
