ubigeo,departamento,provincia,distrito,nombre,anio_datos,anio_prediccion,prevalencia_anemia_base,prob_alto_riesgo,clasificacion,macroregion_inei,macroregion_minsa,latitude,longitude,altitude
10202,AMAZONAS,BAGUA,ARAMANGO,ARAMANGO (BAGUA),2025,2026,0.1387024608501118,0.1555,BAJO RIESGO,ORIENTE,MACROREGION ORIENTE,-5.41638888888889,-78.4377777777778,502.0
10201,AMAZONAS,BAGUA,BAGUA,BAGUA (BAGUA),2025,2026,0.0348557692307692,0.1338,BAJO RIESGO,ORIENTE,MACROREGION ORIENTE,-5.63888888888889,-78.5311111111111,408.0
10203,AMAZONAS,BAGUA,COPALLIN,COPALLIN (BAGUA),2025,2026,0.0967741935483871,0.1683,BAJO RIESGO,ORIENTE,MACROREGION ORIENTE,-5.675,-78.4230555555555,693.0
10204,AMAZONAS,BAGUA,EL PARCO,EL PARCO (BAGUA),2025,2026,0.0847457627118644,0.2049,BAJO RIESGO,ORIENTE,MACROREGION ORIENTE,-5.625,-78.4752777777778,626.0
10205,AMAZONAS,BAGUA,IMAZA,IMAZA (BAGUA),2025,2026,0.1279503105590062,0.1932,BAJO RIESGO,ORIENTE,MACROREGION ORIENTE,-5.16361111111111,-78.2888888888889,317.0
10206,AMAZONAS,BAGUA,LA PECA,LA PECA (BAGUA),2025,2026,0.2333333333333333,0.2484,BAJO RIESGO,ORIENTE,MACROREGION ORIENTE,-5.61194444444444,-78.4369444444445,892.0
10302,AMAZONAS,BONGARA,CHISQUILLA,CHISQUILLA (BONGARA),2025,2026,0.0,0.2993,BAJO RIESGO,ORIENTE,MACROREGION ORIENTE,-5.8975,-77.7861111111111,2057.0
10303,AMAZONAS,BONGARA,CHURUJA,CHURUJA (BONGARA),2025,2026,0.5,0.5915,BAJO RIESGO,ORIENTE,MACROREGION ORIENTE,-6.01944444444445,-77.95194444444449,1399.0
10304,AMAZONAS,BONGARA,COROSHA,COROSHA (BONGARA),2025,2026,0.0,0.3057,BAJO RIESGO,ORIENTE,MACROREGION ORIENTE,-5.84333333333333,-77.8225,2297.0
10305,AMAZONAS,BONGARA,CUISPES,CUISPES (BONGARA),2025,2026,0.0,0.2624,BAJO RIESGO,ORIENTE,MACROREGION ORIENTE,-5.92833333333333,-77.9461111111111,1912.0
10306,AMAZONAS,BONGARA,FLORIDA,FLORIDA (BONGARA),2025,2026,0.1310679611650485,0.1819,BAJO RIESGO,ORIENTE,MACROREGION ORIENTE,-5.82611111111111,-77.9694444444445,2251.0
10307,AMAZONAS,BONGARA,JAZAN,JAZAN (BONGARA),2025,2026,0.124401913875598,0.1771,BAJO RIESGO,ORIENTE,MACROREGION ORIENTE,-5.94138888888889,-77.9772222222222,1342.0
10301,AMAZONAS,BONGARA,JUMBILLA,JUMBILLA (BONGARA),2025,2026,0.054054054054054,0.2337,BAJO RIESGO,ORIENTE,MACROREGION ORIENTE,-5.90444444444445,-77.7977777777778,2081.0
10308,AMAZONAS,BONGARA,RECTA,RECTA (BONGARA),2025,2026,0.0,0.3286,BAJO RIESGO,ORIENTE,MACROREGION ORIENTE,-5.91777777777778,-77.7888888888889,2166.0
10309,AMAZONAS,BONGARA,SAN CARLOS,SAN CARLOS (BONGARA),2025,2026,0.25,0.4523,BAJO RIESGO,ORIENTE,MACROREGION ORIENTE,-5.96611111111111,-77.9452777777778,1942.0
