ubigeo,anio,departamento,provincia,distrito,ninos_evaluados,ninos_con_anemia,prevalencia_anemia,y_no_disponible,gasto_total,gasto_anemia_pan,gasto_total_percapita,gasto_anemia_pan_percapita,log_gasto_total_percapita,log_gasto_anemia_pan_percapita,t_no_disponible,pct_cultivo,pct_construido,pct_desnudo,pct_agua_visible,n_edificios,area_construida_m2,confianza_media,area_distrito_km2,densidad_edificios_km2,elevacion_media,pendiente_media,pct_agua_permanente,pct_agua_estacional,altitude,superficie,pob_densidad_2020,personal_total,personal_total_missing,programa_anemia,programa_anemia_missing,centro_salud_municipal,centro_salud_municipal_missing,macroregion_inei,macroregion_minsa,muestra_pequena,outlier_administrativo,altitude_fuente,superficie_fuente,pob_densidad_2020_fuente,geo_investigacion_confianza
10101,2021,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,234,71,0.303418803,0,745299708.1,44747568.78,3185041.487,191228.9264,14.97397619,12.16123179,0,0.00313315,0.030528473,0.003334878,0.0001068,16298,1306565.43,0.78318525,153.7956021,105.9718209,2423.265986,21.25283667,0.019573978,0.448589522,2338,153.78,201.437118,198,0,0,0,0,0,ORIENTE,MACROREGION ORIENTE,0,0,censo_origen,censo_origen,censo_origen,
10101,2022,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,201,76,0.378109453,0,718269559.3,10204248.58,3573480.395,50767.40587,15.08905086,10.83502951,0,0.00313315,0.030528473,0.003334878,0.0001068,16298,1306565.43,0.78318525,153.7956021,105.9718209,2423.265986,21.25283667,0.019573978,0.448589522,2338,153.78,201.437118,206,0,1,0,0,0,ORIENTE,MACROREGION ORIENTE,0,0,censo_origen,censo_origen,censo_origen,
10101,2023,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,837,160,0.191158901,0,974536136.7,0,1164320.355,0,13.96764895,0,0,0.00313315,0.030528473,0.003334878,0.0001068,16298,1306565.43,0.78318525,153.7956021,105.9718209,2423.265986,21.25283667,0.019573978,0.448589522,2338,153.78,201.437118,268,0,1,0,0,0,ORIENTE,MACROREGION ORIENTE,0,0,censo_origen,censo_origen,censo_origen,
10101,2024,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,969,157,0.162022704,0,1002461819,0,1034532.321,0,13.84946099,0,0,0.00313315,0.030528473,0.003334878,0.0001068,16298,1306565.43,0.78318525,153.7956021,105.9718209,2423.265986,21.25283667,0.019573978,0.448589522,2338,153.78,201.437118,18,1,0,1,0,0,ORIENTE,MACROREGION ORIENTE,0,0,censo_origen,censo_origen,censo_origen,
10101,2025,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,916,107,0.116812227,0,1198125785,0,1307997.581,0,14.08400873,0,0,0.00313315,0.030528473,0.003334878,0.0001068,16298,1306565.43,0.78318525,153.7956021,105.9718209,2423.265986,21.25283667,0.019573978,0.448589522,2338,153.78,201.437118,18,1,0,1,0,1,ORIENTE,MACROREGION ORIENTE,0,0,censo_origen,censo_origen,censo_origen,
10102,2021,AMAZONAS,CHACHAPOYAS,ASUNCION,,,,1,976582.75,0,,,,,1,0.000308348,0.001398451,0.00136157,0,302,21432.99951,0.788231125,35.00258069,8.627935257,2819.011116,19.81978082,0,0,2823,25.71,13.96343835,0,0,0,0,0,0,ORIENTE,MACROREGION ORIENTE,0,0,censo_origen,censo_origen,censo_origen,
10102,2022,AMAZONAS,CHACHAPOYAS,ASUNCION,1,0,0,0,1043962.73,1400.5,1043962.73,1400.5,13.85853531,7.245298371,0,0.000308348,0.001398451,0.00136157,0,302,21432.99951,0.788231125,35.00258069,8.627935257,2819.011116,19.81978082,0,0,2823,25.71,13.96343835,1,0,0,0,0,1,ORIENTE,MACROREGION ORIENTE,1,0,censo_origen,censo_origen,censo_origen,
10102,2023,AMAZONAS,CHACHAPOYAS,ASUNCION,7,4,0.571428571,0,787409.69,0,112487.0986,0,11.6306027,0,0,0.000308348,0.001398451,0.00136157,0,302,21432.99951,0.788231125,35.00258069,8.627935257,2819.011116,19.81978082,0,0,2823,25.71,13.96343835,18,1,1,0,0,0,ORIENTE,MACROREGION ORIENTE,1,0,censo_origen,censo_origen,censo_origen,
10102,2024,AMAZONAS,CHACHAPOYAS,ASUNCION,6,0,0,0,712204.06,0,118700.6767,0,11.68436871,0,0,0.000308348,0.001398451,0.00136157,0,302,21432.99951,0.788231125,35.00258069,8.627935257,2819.011116,19.81978082,0,0,2823,25.71,13.96343835,18,1,0,1,0,0,ORIENTE,MACROREGION ORIENTE,1,0,censo_origen,censo_origen,censo_origen,
10102,2025,AMAZONAS,CHACHAPOYAS,ASUNCION,6,0,0,0,1629374.75,0,271562.4583,0,12.51195112,0,0,0.000308348,0.001398451,0.00136157,0,302,21432.99951,0.788231125,35.00258069,8.627935257,2819.011116,19.81978082,0,0,2823,25.71,13.96343835,18,1,0,1,0,1,ORIENTE,MACROREGION ORIENTE,1,0,censo_origen,censo_origen,censo_origen,
10103,2021,AMAZONAS,CHACHAPOYAS,BALSAS,20,0,0,0,1303334.7,16060,65166.735,803,11.08471976,6.689599269,0,0.000516714,0.001680961,0.007187608,0.005965104,1499,97138.84757,0.786790794,318.2684209,4.709860927,2332.129471,30.77610403,0.146739287,0.581834417,859,357.09,4.046598897,2,0,0,0,0,0,ORIENTE,MACROREGION ORIENTE,0,0,censo_origen,censo_origen,censo_origen,
