ubigeo,personal_total,programa_anemia,centro_salud_municipal,Año
010101,208,1,0,2021
010102,1,0,0,2021
010103,7,1,0,2021
010104,5,1,0,2021
010105,2,0,0,2021
010106,2,1,0,2021
010107,2,0,0,2021
010108,6,0,0,2021
010109,8,0,0,2021
010110,4,0,0,2021
010111,3,0,0,2021
010112,3,1,0,2021
010113,4,0,0,2021
010114,5,0,0,2021
010115,3,0,0,2021
010116,3,0,0,2021
010117,2,0,0,2021
010118,3,0,0,2021
010119,4,1,0,2021
010120,3,0,0,2021
010121,2,0,0,2021
010201,141,0,0,2021
010202,17,0,0,2021
010203,10,0,0,2021
010204,8,0,0,2021
010205,171,1,0,2021
010206,32,1,0,2021
010301,14,1,0,2021
010302,2,1,1,2021
010303,4,0,0,2021
010304,1,1,0,2021
010305,5,0,0,2021
010306,12,1,0,2021
010307,35,0,0,2021
010308,3,0,0,2021
010309,4,0,0,2021
010310,3,0,0,2021
010311,1,0,0,2021
010312,13,0,0,2021
010401,142,1,0,2021
010402,11,1,0,2021
010403,60,0,0,2021
010501,38,1,0,2021
010502,12,0,0,2021
010503,3,0,0,2021
010504,4,0,0,2021
010505,5,0,0,2021
010506,2,0,0,2021
010507,4,0,0,2021
010508,3,0,0,2021
010509,7,0,0,2021
010510,2,1,0,2021
010511,2,0,0,2021
010512,7,0,0,2021
010513,2,0,0,2021
010514,4,0,0,2021
010515,2,1,0,2021
010516,2,0,0,2021
010517,4,0,0,2021
010518,2,0,0,2021
010519,5,0,0,2021
010520,2,1,0,2021
010521,5,0,0,2021
010522,5,0,0,2021
010523,10,0,0,2021
010601,53,0,0,2021
010602,10,1,0,2021
010603,3,0,0,2021
010604,9,1,0,2021
010605,10,1,0,2021
010606,7,0,0,2021
010607,8,1,0,2021
010608,7,0,0,2021
010609,14,1,0,2021
010610,4,0,1,2021
010611,6,0,0,2021
010612,1,1,0,2021
010701,217,0,0,2021
010702,70,1,0,2021
010703,24,1,0,2021
010704,13,0,0,2021
010705,33,1,0,2021
010706,20,0,0,2021
010707,12,0,0,2021
020101,518,1,0,2021
020102,1,1,0,2021
020103,2,0,0,2021
020104,4,1,0,2021
020105,276,0,0,2021
020106,18,0,1,2021
020107,11,1,0,2021
020108,7,1,0,2021
020109,2,1,0,2021
020110,12,1,0,2021
020111,7,0,0,2021
020112,7,0,0,2021
020201,9,0,0,2021
020202,22,0,0,2021
020203,15,1,0,2021
020204,4,1,0,2021
020205,7,0,0,2021
020301,10,0,1,2021
020302,6,0,0,2021
020303,5,0,0,2021
020304,6,0,0,2021
020305,14,1,0,2021
020306,4,0,0,2021
020401,28,0,0,2021
020402,13,1,0,2021
020501,16,0,1,2021
