ubigeo,Año,departamento,provincia,distrito,ninos_evaluados,ninos_con_anemia,ninos_sin_anemia,prevalencia_anemia
010101,2020,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,245,85,160,0.3469387755102041
010101,2021,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,234,71,163,0.3034188034188034
010101,2022,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,201,76,125,0.3781094527363184
010101,2023,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,837,160,677,0.1911589008363202
010101,2024,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,969,157,812,0.16202270381836945
010101,2025,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,916,107,809,0.1168122270742358
010101,2026,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,597,80,517,0.13400335008375208
010102,2022,AMAZONAS,CHACHAPOYAS,ASUNCION,1,0,1,0.0
010102,2023,AMAZONAS,CHACHAPOYAS,ASUNCION,7,4,3,0.5714285714285714
010102,2024,AMAZONAS,CHACHAPOYAS,ASUNCION,6,0,6,0.0
010102,2025,AMAZONAS,CHACHAPOYAS,ASUNCION,6,0,6,0.0
010102,2026,AMAZONAS,CHACHAPOYAS,ASUNCION,1,0,1,0.0
010103,2020,AMAZONAS,CHACHAPOYAS,BALSAS,23,4,19,0.17391304347826086
010103,2021,AMAZONAS,CHACHAPOYAS,BALSAS,20,0,20,0.0
010103,2022,AMAZONAS,CHACHAPOYAS,BALSAS,21,1,20,0.047619047619047616
010103,2023,AMAZONAS,CHACHAPOYAS,BALSAS,39,8,31,0.20512820512820512
010103,2024,AMAZONAS,CHACHAPOYAS,BALSAS,49,8,41,0.16326530612244897
010103,2025,AMAZONAS,CHACHAPOYAS,BALSAS,56,10,46,0.17857142857142858
010103,2026,AMAZONAS,CHACHAPOYAS,BALSAS,28,8,20,0.2857142857142857
010104,2020,AMAZONAS,CHACHAPOYAS,CHETO,6,3,3,0.5
010104,2021,AMAZONAS,CHACHAPOYAS,CHETO,3,1,2,0.3333333333333333
010104,2022,AMAZONAS,CHACHAPOYAS,CHETO,2,0,2,0.0
010104,2023,AMAZONAS,CHACHAPOYAS,CHETO,15,4,11,0.26666666666666666
010104,2024,AMAZONAS,CHACHAPOYAS,CHETO,19,2,17,0.10526315789473684
010104,2025,AMAZONAS,CHACHAPOYAS,CHETO,15,1,14,0.06666666666666667
010104,2026,AMAZONAS,CHACHAPOYAS,CHETO,9,0,9,0.0
010105,2020,AMAZONAS,CHACHAPOYAS,CHILIQUIN,9,1,8,0.1111111111111111
010105,2021,AMAZONAS,CHACHAPOYAS,CHILIQUIN,20,2,18,0.1
010105,2022,AMAZONAS,CHACHAPOYAS,CHILIQUIN,19,4,15,0.21052631578947367
010105,2023,AMAZONAS,CHACHAPOYAS,CHILIQUIN,33,5,28,0.15151515151515152
010105,2024,AMAZONAS,CHACHAPOYAS,CHILIQUIN,26,3,23,0.11538461538461539
010105,2025,AMAZONAS,CHACHAPOYAS,CHILIQUIN,20,0,20,0.0
010105,2026,AMAZONAS,CHACHAPOYAS,CHILIQUIN,12,3,9,0.25
010106,2020,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,26,19,7,0.7307692307692307
010106,2021,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,38,30,8,0.7894736842105263
010106,2022,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,39,37,2,0.9487179487179487
010106,2023,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,78,48,30,0.6153846153846154
010106,2024,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,64,37,27,0.578125
010106,2025,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,74,27,47,0.36486486486486486
010106,2026,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,34,12,22,0.35294117647058826
010107,2020,AMAZONAS,CHACHAPOYAS,GRANADA,1,1,0,1.0
010107,2021,AMAZONAS,CHACHAPOYAS,GRANADA,2,1,1,0.5
010107,2022,AMAZONAS,CHACHAPOYAS,GRANADA,2,1,1,0.5
010107,2023,AMAZONAS,CHACHAPOYAS,GRANADA,7,0,7,0.0
010107,2024,AMAZONAS,CHACHAPOYAS,GRANADA,9,0,9,0.0
010107,2025,AMAZONAS,CHACHAPOYAS,GRANADA,6,0,6,0.0
010107,2026,AMAZONAS,CHACHAPOYAS,GRANADA,3,0,3,0.0
010108,2020,AMAZONAS,CHACHAPOYAS,HUANCAS,5,1,4,0.2
010108,2021,AMAZONAS,CHACHAPOYAS,HUANCAS,9,3,6,0.3333333333333333
010108,2022,AMAZONAS,CHACHAPOYAS,HUANCAS,5,0,5,0.0
010108,2023,AMAZONAS,CHACHAPOYAS,HUANCAS,20,6,14,0.3
010108,2024,AMAZONAS,CHACHAPOYAS,HUANCAS,16,5,11,0.3125
010108,2025,AMAZONAS,CHACHAPOYAS,HUANCAS,12,2,10,0.16666666666666666
010108,2026,AMAZONAS,CHACHAPOYAS,HUANCAS,4,0,4,0.0
010109,2020,AMAZONAS,CHACHAPOYAS,LA JALCA,67,26,41,0.3880597014925373
010109,2021,AMAZONAS,CHACHAPOYAS,LA JALCA,83,32,51,0.3855421686746988
010109,2022,AMAZONAS,CHACHAPOYAS,LA JALCA,50,27,23,0.54
010109,2023,AMAZONAS,CHACHAPOYAS,LA JALCA,217,76,141,0.35023041474654376
010109,2024,AMAZONAS,CHACHAPOYAS,LA JALCA,258,72,186,0.27906976744186046
010109,2025,AMAZONAS,CHACHAPOYAS,LA JALCA,235,75,160,0.3191489361702128
010109,2026,AMAZONAS,CHACHAPOYAS,LA JALCA,146,48,98,0.3287671232876712
010110,2020,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,37,7,30,0.1891891891891892
010110,2021,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,45,7,38,0.15555555555555556
010110,2022,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,40,8,32,0.2
010110,2023,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,138,13,125,0.09420289855072464
010110,2024,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,128,14,114,0.109375
010110,2025,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,111,17,94,0.15315315315315314
010110,2026,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,60,12,48,0.2
010111,2020,AMAZONAS,CHACHAPOYAS,LEVANTO,2,1,1,0.5
010111,2021,AMAZONAS,CHACHAPOYAS,LEVANTO,2,2,0,1.0
010111,2022,AMAZONAS,CHACHAPOYAS,LEVANTO,2,1,1,0.5
010111,2023,AMAZONAS,CHACHAPOYAS,LEVANTO,15,3,12,0.2
010111,2024,AMAZONAS,CHACHAPOYAS,LEVANTO,17,1,16,0.058823529411764705
010111,2025,AMAZONAS,CHACHAPOYAS,LEVANTO,18,8,10,0.4444444444444444
010111,2026,AMAZONAS,CHACHAPOYAS,LEVANTO,7,1,6,0.14285714285714285
010112,2020,AMAZONAS,CHACHAPOYAS,MAGDALENA,3,2,1,0.6666666666666666
010112,2021,AMAZONAS,CHACHAPOYAS,MAGDALENA,6,0,6,0.0
010112,2022,AMAZONAS,CHACHAPOYAS,MAGDALENA,7,0,7,0.0
010112,2023,AMAZONAS,CHACHAPOYAS,MAGDALENA,26,7,19,0.2692307692307692
010112,2024,AMAZONAS,CHACHAPOYAS,MAGDALENA,25,3,22,0.12
010112,2025,AMAZONAS,CHACHAPOYAS,MAGDALENA,22,3,19,0.13636363636363635
010112,2026,AMAZONAS,CHACHAPOYAS,MAGDALENA,12,3,9,0.25
010113,2020,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,5,2,3,0.4
010113,2021,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,6,1,5,0.16666666666666666
010113,2022,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,6,2,4,0.3333333333333333
010113,2023,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,16,1,15,0.0625
010113,2024,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,21,7,14,0.3333333333333333
010113,2025,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,17,2,15,0.11764705882352941
010113,2026,AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,11,0,11,0.0
010114,2020,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,26,7,19,0.2692307692307692
010114,2021,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,23,13,10,0.5652173913043478
010114,2022,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,26,6,20,0.23076923076923078
010114,2023,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,41,14,27,0.34146341463414637
010114,2024,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,53,19,34,0.3584905660377358
010114,2025,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,53,13,40,0.24528301886792453
010114,2026,AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,29,9,20,0.3103448275862069
010115,2020,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,6,0,6,0.0
010115,2021,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,1,0,1,0.0
010115,2022,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,1,0,1,0.0
010115,2023,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,9,2,7,0.2222222222222222
010115,2024,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,6,1,5,0.16666666666666666
010115,2025,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,4,1,3,0.25
010115,2026,AMAZONAS,CHACHAPOYAS,MONTEVIDEO,5,2,3,0.4
010116,2020,AMAZONAS,CHACHAPOYAS,OLLEROS,3,0,3,0.0
010116,2021,AMAZONAS,CHACHAPOYAS,OLLEROS,2,0,2,0.0
010116,2022,AMAZONAS,CHACHAPOYAS,OLLEROS,2,1,1,0.5
010116,2023,AMAZONAS,CHACHAPOYAS,OLLEROS,9,3,6,0.3333333333333333
010116,2024,AMAZONAS,CHACHAPOYAS,OLLEROS,10,0,10,0.0
010116,2025,AMAZONAS,CHACHAPOYAS,OLLEROS,5,3,2,0.6
010116,2026,AMAZONAS,CHACHAPOYAS,OLLEROS,2,1,1,0.5
010117,2020,AMAZONAS,CHACHAPOYAS,QUINJALCA,5,1,4,0.2
010117,2021,AMAZONAS,CHACHAPOYAS,QUINJALCA,5,0,5,0.0
010117,2022,AMAZONAS,CHACHAPOYAS,QUINJALCA,5,2,3,0.4
010117,2023,AMAZONAS,CHACHAPOYAS,QUINJALCA,10,2,8,0.2
010117,2024,AMAZONAS,CHACHAPOYAS,QUINJALCA,8,2,6,0.25
010117,2025,AMAZONAS,CHACHAPOYAS,QUINJALCA,8,3,5,0.375
010117,2026,AMAZONAS,CHACHAPOYAS,QUINJALCA,4,1,3,0.25
010118,2020,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,6,1,5,0.16666666666666666
010118,2021,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,5,1,4,0.2
010118,2022,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,1,0,1,0.0
010118,2023,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,5,0,5,0.0
010118,2024,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,3,0,3,0.0
010118,2025,AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,1,0,1,0.0
010119,2020,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,3,1,2,0.3333333333333333
010119,2021,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,2,0,2,0.0
010119,2022,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,6,1,5,0.16666666666666666
010119,2023,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,12,2,10,0.16666666666666666
010119,2024,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,19,0,19,0.0
010119,2025,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,19,0,19,0.0
010119,2026,AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,15,0,15,0.0
010120,2020,AMAZONAS,CHACHAPOYAS,SOLOCO,14,7,7,0.5
010120,2021,AMAZONAS,CHACHAPOYAS,SOLOCO,28,5,23,0.17857142857142858
010120,2022,AMAZONAS,CHACHAPOYAS,SOLOCO,24,8,16,0.3333333333333333
010120,2023,AMAZONAS,CHACHAPOYAS,SOLOCO,34,13,21,0.38235294117647056
010120,2024,AMAZONAS,CHACHAPOYAS,SOLOCO,30,16,14,0.5333333333333333
010120,2025,AMAZONAS,CHACHAPOYAS,SOLOCO,29,6,23,0.20689655172413793
010120,2026,AMAZONAS,CHACHAPOYAS,SOLOCO,17,1,16,0.058823529411764705
010121,2020,AMAZONAS,CHACHAPOYAS,SONCHE,3,0,3,0.0
010121,2021,AMAZONAS,CHACHAPOYAS,SONCHE,7,0,7,0.0
010121,2022,AMAZONAS,CHACHAPOYAS,SONCHE,11,2,9,0.18181818181818182
010121,2023,AMAZONAS,CHACHAPOYAS,SONCHE,11,1,10,0.09090909090909091
010121,2024,AMAZONAS,CHACHAPOYAS,SONCHE,11,0,11,0.0
010121,2025,AMAZONAS,CHACHAPOYAS,SONCHE,7,0,7,0.0
010121,2026,AMAZONAS,CHACHAPOYAS,SONCHE,5,0,5,0.0
010201,2020,AMAZONAS,BAGUA,BAGUA,405,55,350,0.13580246913580246
010201,2021,AMAZONAS,BAGUA,BAGUA,352,57,295,0.16193181818181818
010201,2022,AMAZONAS,BAGUA,BAGUA,288,38,250,0.13194444444444445
010201,2023,AMAZONAS,BAGUA,BAGUA,964,97,867,0.10062240663900415
010201,2024,AMAZONAS,BAGUA,BAGUA,848,66,782,0.07783018867924528
010201,2025,AMAZONAS,BAGUA,BAGUA,832,29,803,0.03485576923076923
010201,2026,AMAZONAS,BAGUA,BAGUA,538,22,516,0.040892193308550186
010202,2020,AMAZONAS,BAGUA,ARAMANGO,149,9,140,0.06040268456375839
010202,2021,AMAZONAS,BAGUA,ARAMANGO,140,15,125,0.10714285714285714
010202,2022,AMAZONAS,BAGUA,ARAMANGO,98,12,86,0.12244897959183673
010202,2023,AMAZONAS,BAGUA,ARAMANGO,435,28,407,0.06436781609195402
010202,2024,AMAZONAS,BAGUA,ARAMANGO,448,22,426,0.049107142857142856
010202,2025,AMAZONAS,BAGUA,ARAMANGO,447,62,385,0.13870246085011187
010202,2026,AMAZONAS,BAGUA,ARAMANGO,278,44,234,0.15827338129496402
010203,2020,AMAZONAS,BAGUA,COPALLIN,34,5,29,0.14705882352941177
010203,2021,AMAZONAS,BAGUA,COPALLIN,30,1,29,0.03333333333333333
010203,2022,AMAZONAS,BAGUA,COPALLIN,32,6,26,0.1875
010203,2023,AMAZONAS,BAGUA,COPALLIN,161,13,148,0.08074534161490683
010203,2024,AMAZONAS,BAGUA,COPALLIN,147,24,123,0.16326530612244897
010203,2025,AMAZONAS,BAGUA,COPALLIN,124,12,112,0.0967741935483871
010203,2026,AMAZONAS,BAGUA,COPALLIN,86,7,79,0.08139534883720931
010204,2020,AMAZONAS,BAGUA,EL PARCO,22,2,20,0.09090909090909091
