ubigeo,anio,cluster
010101,2020,4
010102,2020,4
010103,2020,3
010104,2020,4
010105,2020,4
010106,2020,3
010107,2020,4
010108,2020,4
010109,2020,4
010110,2020,3
010111,2020,4
010112,2020,4
010113,2020,4
010114,2020,4
010115,2020,4
010116,2020,4
010117,2020,4
010118,2020,4
010119,2020,4
010120,2020,4
010121,2020,4
010201,2020,2
010202,2020,2
010203,2020,2
010204,2020,2
010205,2020,3
010206,2020,2
010301,2020,4
010302,2020,4
010303,2020,4
010304,2020,4
010305,2020,4
010306,2020,3
010307,2020,4
010308,2020,4
010309,2020,4
010310,2020,4
010311,2020,4
010312,2020,3
010401,2020,3
010402,2020,3
010403,2020,2
010501,2020,4
010502,2020,4
010503,2020,4
010504,2020,4
010505,2020,4
010506,2020,4
010507,2020,4
010508,2020,4
010509,2020,4
010510,2020,4
010511,2020,4
010512,2020,4
010513,2020,4
010514,2020,4
010515,2020,4
010516,2020,4
010517,2020,4
010518,2020,4
010519,2020,4
010520,2020,4
010521,2020,4
010522,2020,4
010523,2020,4
010601,2020,4
010602,2020,4
010603,2020,4
010604,2020,4
010605,2020,4
010606,2020,4
010607,2020,4
010608,2020,4
010609,2020,4
010610,2020,4
010611,2020,4
010612,2020,4
010701,2020,4
010702,2020,3
010703,2020,4
010704,2020,2
010705,2020,4
010706,2020,4
010707,2020,4
020101,2020,0
020102,2020,6
020103,2020,6
020104,2020,6
020105,2020,0
020106,2020,0
020107,2020,6
020108,2020,9
020109,2020,6
020110,2020,6
020111,2020,0
020112,2020,0
020201,2020,6
020202,2020,6
020203,2020,5
020204,2020,6
020205,2020,6
020301,2020,5
020302,2020,5
020303,2020,5
020304,2020,5
020305,2020,5
020306,2020,5
020401,2020,0
020402,2020,0
020501,2020,5
020502,2020,5
020503,2020,6
020504,2020,5
020505,2020,6
020506,2020,6
020507,2020,6
020508,2020,5
020509,2020,5
020510,2020,6
020511,2020,5
020512,2020,6
020513,2020,6
020514,2020,6
020515,2020,6
020601,2020,0
020602,2020,0
020603,2020,0
020604,2020,0
020605,2020,0
020606,2020,0
020607,2020,0
020608,2020,0
020609,2020,0
020610,2020,0
020611,2020,0
020701,2020,5
020702,2020,5
020703,2020,5
020801,2020,6
020802,2020,6
020803,2020,1
020804,2020,6
020901,2020,6
020902,2020,5
020903,2020,6
020904,2020,5
020905,2020,6
020906,2020,6
020907,2020,6
021001,2020,0
021002,2020,5
021003,2020,5
021004,2020,9
021005,2020,5
021006,2020,5
021007,2020,5
021008,2020,0
021009,2020,5
021010,2020,5
021011,2020,5
021012,2020,5
021013,2020,5
021014,2020,5
021015,2020,5
021016,2020,5
021101,2020,6
021102,2020,6
021103,2020,6
021104,2020,6
021105,2020,6
021201,2020,0
021202,2020,6
021203,2020,0
021204,2020,6
021205,2020,0
021206,2020,6
021207,2020,0
021208,2020,6
021209,2020,6
021210,2020,6
021301,2020,5
021302,2020,5
021303,2020,5
021304,2020,5
021305,2020,5
021306,2020,5
021307,2020,5
021308,2020,5
021401,2020,6
021402,2020,6
021403,2020,6
021404,2020,6
021405,2020,6
021406,2020,6
021407,2020,6
021408,2020,6
021409,2020,6
021410,2020,6
021501,2020,6
021502,2020,6
021503,2020,5
021504,2020,4
021505,2020,6
021506,2020,5
021507,2020,6
021508,2020,6
021509,2020,5
021510,2020,6
021511,2020,6
021601,2020,5
021602,2020,5
021603,2020,5
021604,2020,5
021701,2020,9
021702,2020,5
021703,2020,6
021704,2020,6
021705,2020,6
021706,2020,6
021707,2020,5
021708,2020,6
021709,2020,6
021710,2020,9
021801,2020,1
021802,2020,6
021803,2020,1
021804,2020,6
021805,2020,6
021806,2020,6
021807,2020,1
021808,2020,1
021809,2020,1
021901,2020,5
021902,2020,5
021903,2020,5
021904,2020,5
021905,2020,5
021906,2020,5
021907,2020,5
021908,2020,5
021909,2020,5
021910,2020,5
022001,2020,0
022002,2020,6
022003,2020,0
022004,2020,0
022005,2020,6
022006,2020,0
022007,2020,6
022008,2020,0
030101,2020,5
030102,2020,5
030103,2020,5
030104,2020,5
030105,2020,3
030106,2020,5
030107,2020,5
030108,2020,5
030109,2020,5
030201,2020,0
030202,2020,0
030203,2020,5
030204,2020,5
030205,2020,5
030206,2020,5
030207,2020,0
030208,2020,0
030209,2020,0
030210,2020,9
030211,2020,5
030212,2020,5
030213,2020,0
030214,2020,5
030215,2020,0
030216,2020,0
030217,2020,5
030218,2020,0
030219,2020,0
030220,2020,0
030301,2020,8
030302,2020,5
030303,2020,5
030304,2020,8
030305,2020,5
030306,2020,5
030307,2020,5
030401,2020,5
030402,2020,5
030403,2020,5
030404,2020,5
030405,2020,5
030406,2020,9
030407,2020,5
030408,2020,5
030409,2020,5
030410,2020,5
030411,2020,5
030412,2020,9
030413,2020,5
030414,2020,5
030415,2020,5
030416,2020,5
030417,2020,5
030501,2020,5
030502,2020,5
030503,2020,5
030504,2020,9
030505,2020,0
030506,2020,5
030601,2020,5
030602,2020,5
030603,2020,5
030604,2020,5
030605,2020,0
030606,2020,5
030607,2020,5
030608,2020,5
030609,2020,5
030610,2020,5
030611,2020,5
030612,2020,5
030701,2020,5
030702,2020,5
030703,2020,5
030704,2020,5
030705,2020,5
030706,2020,5
030707,2020,5
030708,2020,5
030709,2020,5
030710,2020,5
030711,2020,5
030712,2020,5
030713,2020,5
030714,2020,5
040101,2020,10
040102,2020,10
040103,2020,10
040104,2020,10
040105,2020,10
040106,2020,10
040107,2020,10
040108,2020,8
040109,2020,10
